trialsType,trialsNum,trialNum,trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,instr1.started,instr1.stopped,fix.started,fix.stopped,trial1Mouse.x,trial1Mouse.y,trial1Mouse.leftButton,trial1Mouse.midButton,trial1Mouse.rightButton,trial1Mouse.time,trial1Mouse.started,trial1Mouse.stopped,step,targetangle_deg,trial1Target.started,trial1Target.stopped,trial1Home.started,trial1Home.stopped,trial1Cursor.started,trial1Cursor.stopped,trial1Num.started,trial1Num.stopped,trial2Mouse.x,trial2Mouse.y,trial2Mouse.leftButton,trial2Mouse.midButton,trial2Mouse.rightButton,trial2Mouse.time,trial2Mouse.started,trial2Mouse.stopped,trial2Target.started,trial2Target.stopped,trial2Home.started,trial2Home.stopped,trial2Cursor.started,trial2Cursor.stopped,trial2Num.started,trial2Num.stopped,trial2Text.started,trial2Text.stopped,participant,session,taskVer,date,expName,psychopyVersion,frameRate,
1,1,1,0,0,0,0,,,,,13.810928800143301,None,14.201807399978861,None,"[-0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334]","[0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.010102499974891543, 0.022518099984154105, 0.043865400133654475, 0.061180700082331896, 0.07784590008668602, 0.09514470002613962, 0.1111735999584198, 0.12785589997656643, 0.14451809995807707, 0.16117990016937256, 0.17775660008192062, 0.19448320008814335, 0.21114250016398728, 0.22783570014871657, 0.24454390001483262, 0.2610663999803364, 0.27779660001397133, 0.2944747000001371, 0.31106560002081096, 0.3277885999996215, 0.34446950000710785, 0.36105700000189245, 0.37776609999127686, 0.3943884000182152, 0.41111910017207265, 0.42835310008376837]",15.277419400168583,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",40,15.277419400168583,None,15.277419400168583,None,15.277419400168583,None,15.277419400168583,None,,,,,,,,,,,,,,,,,,,a,001,5,2020_Jun_26_1640,pAdaptTest5,2020.1.3,60.03723511115066,
1,1,2,0,1,1,1,,,,,,,,,"[-0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334]","[0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.004698699805885553, 0.015522999921813607, 0.03907289984636009, 0.05652739992365241, 0.07360429991967976, 0.09035159996710718, 0.10665129986591637, 0.12318999995477498, 0.1397748999297619, 0.156542900018394, 0.17323029995895922, 0.18970649992115796, 0.2069364998023957, 0.22335959994234145, 0.23978509986773133, 0.2563598998822272, 0.27282529999502003]",15.708341400139034,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",50,15.708341400139034,None,15.708341400139034,None,15.708341400139034,None,15.708341400139034,None,,,,,,,,,,,,,,,,,,,a,001,5,2020_Jun_26_1640,pAdaptTest5,2020.1.3,60.03723511115066,
1,1,3,0,2,2,2,,,,,,,,,"[-0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334]","[0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]","[0.005179499974474311, 0.015278399921953678, 0.025887599913403392, 0.0422775000333786, 0.05874620005488396, 0.07528200000524521, 0.09242690005339682]",15.9898890000768,None,"[1, 1, 1, 1, 1, 1, 1]",40,15.9898890000768,None,15.9898890000768,None,15.9898890000768,None,15.9898890000768,None,,,,,,,,,,,,,,,,,,,a,001,5,2020_Jun_26_1640,pAdaptTest5,2020.1.3,60.03723511115066,
1,1,4,0,3,3,3,,,,,,,,,"[-0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334]","[0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.004885000176727772, 0.014628800097852945, 0.02530129998922348, 0.0414410000666976, 0.058187900111079216, 0.07533290004357696, 0.09141440014354885, 0.10804369999095798, 0.12482050014659762, 0.14147020014934242, 0.15813500015065074, 0.1747787999920547, 0.191467700060457, 0.2080759999807924, 0.22490709996782243, 0.24143670010380447, 0.25811280007474124, 0.2747021000832319, 0.29147220007143915, 0.30853949999436736]",16.08968190010637,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",50,16.08968190010637,None,16.08968190010637,None,16.08968190010637,None,16.08968190010637,None,,,,,,,,,,,,,,,,,,,a,001,5,2020_Jun_26_1640,pAdaptTest5,2020.1.3,60.03723511115066,
1,1,5,0,4,4,4,,,,,,,,,"[-0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334]","[0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.007477199891582131, 0.018449399853125215, 0.04147870000451803, 0.0589310999494046, 0.07537729991599917, 0.09192569996230304, 0.10870899981819093, 0.12535539991222322, 0.1420347997918725, 0.15860669990070164, 0.17531530000269413, 0.19194109993986785, 0.20877729984931648, 0.22523769992403686, 0.24200119986198843, 0.25915830000303686]",16.4090162999928,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",40,16.4090162999928,None,16.4090162999928,None,16.4090162999928,None,16.4090162999928,None,,,,,,,,,,,,,,,,,,,a,001,5,2020_Jun_26_1640,pAdaptTest5,2020.1.3,60.03723511115066,
1,1,6,0,5,5,5,,,,,,,,,"[-0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334]","[0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.004994400078430772, 0.015288700116798282, 0.02610000013373792, 0.04213570011779666, 0.058593800058588386, 0.07519470015540719, 0.09192090015858412, 0.10855520004406571, 0.1252266000956297, 0.14180830004625022, 0.15861670020967722, 0.17515980009920895, 0.19187760003842413, 0.20847830013372004, 0.22520810016430914]",16.672841100022197,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",50,16.672841100022197,None,16.672841100022197,None,16.672841100022197,None,16.672841100022197,None,,,,,,,,,,,,,,,,,,,a,001,5,2020_Jun_26_1640,pAdaptTest5,2020.1.3,60.03723511115066,
1,1,7,0,6,6,6,,,,,,,,,"[-0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.14583333333333334, -0.12630208333333334, -0.09114583333333333, -0.07161458333333333]","[0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09505208333333333, 0.09375, 0.09635416666666667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0071628999430686235, 0.018086900003254414, 0.04268070007674396, 0.05979470000602305, 0.076563699869439, 0.09314349992200732, 0.10988839995115995, 0.12643639999441803, 0.14316409989260137, 0.15979110007174313, 0.1764088999480009, 0.19307659985497594, 0.20980609999969602, 0.22666889987885952, 0.24349480005912483, 0.2601288000587374, 0.2765210000798106]",16.907257300103083,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",40,16.907257300103083,None,16.907257300103083,None,16.907257300103083,None,16.907257300103083,None,,,,,,,,,,,,,,,,,,,a,001,5,2020_Jun_26_1640,pAdaptTest5,2020.1.3,60.03723511115066,
1,1,8,0,7,7,7,,,,,,,,,"[-0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.07161458333333333, -0.0625, -0.029947916666666668, -0.005208333333333333, 0.0, 0.0026041666666666665, 0.006510416666666667, 0.0078125, 0.009114583333333334, 0.009114583333333334]","[0.09635416666666667, 0.09375, 0.09375, 0.09375, 0.09375, 0.09375, 0.09375, 0.09505208333333333, 0.09635416666666667, 0.09635416666666667, 0.09635416666666667, 0.09635416666666667, 0.09635416666666667, 0.09635416666666667, 0.09635416666666667, 0.09635416666666667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0047623999416828156, 0.016245600068941712, 0.02712489990517497, 0.04289890010841191, 0.06014590011909604, 0.07627550000324845, 0.09316850011236966, 0.10992530011571944, 0.12665290012955666, 0.14329669997096062, 0.16034139995463192, 0.17657670006155968, 0.19324039993807673, 0.2098493000958115, 0.22629919997416437, 0.24330299999564886]",17.189596000127494,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",50,17.189596000127494,None,17.189596000127494,None,17.189596000127494,None,17.189596000127494,None,,,,,,,,,,,,,,,,,,,a,001,5,2020_Jun_26_1640,pAdaptTest5,2020.1.3,60.03723511115066,
1,1,9,0,8,8,8,,,,,,,,,"[0.009114583333333334, 0.009114583333333334, 0.009114583333333334, 0.009114583333333334, 0.009114583333333334, 0.009114583333333334, 0.009114583333333334, 0.009114583333333334, 0.010416666666666666, 0.010416666666666666, 0.009114583333333334, 0.0078125, 0.0078125, 0.006510416666666667, 0.005208333333333333]","[0.09635416666666667, 0.09635416666666667, 0.09635416666666667, 0.09635416666666667, 0.09635416666666667, 0.09635416666666667, 0.09114583333333333, 0.08463541666666667, 0.08203125, 0.08072916666666667, 0.07942708333333333, 0.07942708333333333, 0.07942708333333333, 0.07942708333333333, 0.078125]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.004733500070869923, 0.014944100053980947, 0.025697299977764487, 0.0419473999645561, 0.058588899904862046, 0.07559720007702708, 0.09228820004500449, 0.10888090007938445, 0.1258139000274241, 0.1421447000466287, 0.1588661998976022, 0.17531799990683794, 0.19216099986806512, 0.20887520001269877, 0.22613149997778237]",17.439454900100827,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",40,17.439454900100827,None,17.439454900100827,None,17.439454900100827,None,17.439454900100827,None,,,,,,,,,,,,,,,,,,,a,001,5,2020_Jun_26_1640,pAdaptTest5,2020.1.3,60.03723511115066,
1,1,10,0,9,9,9,,,,,,,,,"[0.005208333333333333, 0.00390625, 0.00390625, 0.0026041666666666665, 0.0013020833333333333, -0.0013020833333333333, 0.006510416666666667, 0.022135416666666668, 0.032552083333333336, 0.03515625, 0.036458333333333336, 0.036458333333333336, 0.036458333333333336, 0.036458333333333336, 0.036458333333333336, 0.036458333333333336, 0.036458333333333336, 0.036458333333333336, 0.036458333333333336, 0.036458333333333336, 0.036458333333333336, 0.036458333333333336, 0.036458333333333336, 0.036458333333333336, 0.036458333333333336, 0.036458333333333336, 0.036458333333333336, 0.036458333333333336, 0.036458333333333336, 0.036458333333333336, 0.0390625, 0.04296875, 0.046875, 0.053385416666666664, 0.06380208333333333, 0.07552083333333333, 0.1015625, 0.12109375, 0.14583333333333334, 0.16536458333333334, 0.18489583333333334, 0.19791666666666666, 0.20703125, 0.21484375, 0.21744791666666666, 0.22265625, 0.22786458333333334, 0.23177083333333334, 0.23958333333333334, 0.24609375, 0.2552083333333333, 0.2591145833333333, 0.2630208333333333, 0.2669270833333333, 0.2721354166666667, 0.27734375, 0.2786458333333333, 0.2786458333333333]","[0.078125, 0.078125, 0.078125, 0.078125, 0.078125, 0.06770833333333333, 0.037760416666666664, -0.006510416666666667, -0.032552083333333336, -0.04296875, -0.045572916666666664, -0.046875, -0.046875, -0.046875, -0.046875, -0.046875, -0.046875, -0.046875, -0.046875, -0.046875, -0.046875, -0.046875, -0.046875, -0.046875, -0.046875, -0.046875, -0.046875, -0.046875, -0.046875, -0.044270833333333336, -0.016927083333333332, 0.006510416666666667, 0.029947916666666668, 0.049479166666666664, 0.07291666666666667, 0.09635416666666667, 0.13411458333333334, 0.16276041666666666, 0.19401041666666666, 0.21744791666666666, 0.23567708333333334, 0.24869791666666666, 0.2604166666666667, 0.2760416666666667, 0.2838541666666667, 0.2903645833333333, 0.2942708333333333, 0.296875, 0.2981770833333333, 0.2994791666666667, 0.30078125, 0.3020833333333333, 0.3033854166666667, 0.3046875, 0.3072916666666667, 0.30859375, 0.3098958333333333, 0.3098958333333333]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.008194399997591972, 0.01921029994264245, 0.040672200033441186, 0.058241399936378, 0.07463419996201992, 0.0919087000656873, 0.1079738000407815, 0.12487920001149178, 0.14159419992938638, 0.15785970003344119, 0.1748784000519663, 0.19126580003648996, 0.20785320014692843, 0.2245748001150787, 0.24135980010032654, 0.25798230012878776, 0.27426919993013144, 0.29116749996319413, 0.3079063000623137, 0.32457079994492233, 0.3412143001332879, 0.3578264000825584, 0.3745365000795573, 0.39090909995138645, 0.4076626000460237, 0.4243525001220405, 0.4411880001425743, 0.4578658000100404, 0.474954399978742, 0.49139990005642176, 0.5081879000645131, 0.5250902001280338, 0.5414632000029087, 0.5580857000313699, 0.5749194999225438, 0.5914398001041263, 0.6081658001057804, 0.6248792000114918, 0.6414845001418144, 0.6579454001039267, 0.6748610001523048, 0.6914725000970066, 0.7081484999507666, 0.7247933000326157, 0.7417925000190735, 0.7579169999808073, 0.7748952999245375, 0.7913355999626219, 0.8080466000828892, 0.824722700053826, 0.8418322999496013, 0.8585225001443177, 0.8749786999542266, 0.8912740999367088, 0.9083106000907719, 0.9250179000664502, 0.9410876000765711, 0.9585013999603689]",17.676792799960822,None,"[1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3]",50,17.676792799960822,None,17.676792799960822,None,17.676792799960822,None,17.676792799960822,None,,,,,,,,,,,,,,,,,,,a,001,5,2020_Jun_26_1640,pAdaptTest5,2020.1.3,60.03723511115066,
1,1,11,0,10,10,10,,,,,,,,,"[0.2786458333333333, 0.2786458333333333, 0.2786458333333333, 0.2786458333333333, 0.2786458333333333, 0.2786458333333333, 0.2786458333333333, 0.2786458333333333, 0.2734375, 0.2669270833333333, 0.2565104166666667, 0.23697916666666666, 0.22786458333333334, 0.21744791666666666, 0.2109375, 0.20833333333333334]","[0.3098958333333333, 0.3098958333333333, 0.3098958333333333, 0.3098958333333333, 0.3098958333333333, 0.3098958333333333, 0.3098958333333333, 0.3098958333333333, 0.3046875, 0.2864583333333333, 0.265625, 0.23046875, 0.2109375, 0.19140625, 0.17447916666666666, 0.16015625]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.004324200097471476, 0.01580180018208921, 0.04097550013102591, 0.058230800088495016, 0.07557090022601187, 0.09169430006295443, 0.10827680001966655, 0.1253018002025783, 0.14198090019635856, 0.15866640000604093, 0.17535130004398525, 0.19185210019350052, 0.20848080003634095, 0.22527640010230243, 0.241966700181365, 0.2594369000289589]",18.639379299944267,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",40,18.639379299944267,None,18.639379299944267,None,18.639379299944267,None,18.639379299944267,None,,,,,,,,,,,,,,,,,,,a,001,5,2020_Jun_26_1640,pAdaptTest5,2020.1.3,60.03723511115066,
